src/App.tsx(1945,4): error TS1005: ';' expected.
src/App.tsx(2480,1): error TS1128: Declaration or statement expected.
src/App.tsx(2559,1): error TS1005: 'try' expected.
src/App.tsx(2563,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(2564,4): error TS1128: Declaration or statement expected.
src/App.tsx(2652,1): error TS1005: 'try' expected.
src/App.tsx(2656,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(2657,4): error TS1128: Declaration or statement expected.
src/App.tsx(2782,1): error TS1128: Declaration or statement expected.
src/App.tsx(2819,1): error TS1005: 'try' expected.
src/App.tsx(2823,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(2824,4): error TS1128: Declaration or statement expected.
src/App.tsx(2897,1): error TS1005: 'try' expected.
src/App.tsx(2901,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(2902,4): error TS1128: Declaration or statement expected.
src/App.tsx(2948,1): error TS1005: 'try' expected.
src/App.tsx(2952,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(2968,4): error TS1128: Declaration or statement expected.
src/App.tsx(3009,1): error TS1005: 'try' expected.
src/App.tsx(3013,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(3026,4): error TS1128: Declaration or statement expected.
src/App.tsx(3043,1): error TS1005: 'try' expected.
src/App.tsx(3047,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(3048,4): error TS1128: Declaration or statement expected.
src/App.tsx(3137,1): error TS1005: 'try' expected.
src/App.tsx(3141,5): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(3142,4): error TS1128: Declaration or statement expected.
src/App.tsx(3204,8): error TS1128: Declaration or statement expected.
src/App.tsx(4022,1): error TS1005: 'try' expected.
src/App.tsx(4024,1): error TS1005: 'try' expected.
src/App.tsx(4029,4): error TS1472: 'catch' or 'finally' expected.
src/App.tsx(4029,15): error TS1005: ';' expected.
src/App.tsx(5540,1): error TS1128: Declaration or statement expected.
src/App.tsx(5542,1): error TS1128: Declaration or statement expected.
src/App.tsx(5557,1): error TS1128: Declaration or statement expected.
src/App.tsx(5829,1): error TS1128: Declaration or statement expected.
src/App.tsx(5881,1): error TS1128: Declaration or statement expected.
src/App.tsx(5961,1): error TS1128: Declaration or statement expected.
